STATE,NULL,$,(,),*,+,",",-,/,;,=,ELSE,FLOAT,IDENTIFIER,IF,INT,I_CONSTANT,RETURN,VOID,WHILE,{,},FTYPE,Program,call,if语句,return语句,start_point,while语句,加法表达式,因子,声明语句,实参,实参列表,类型,表达式,语句,语句串,语句块,赋值语句,项
0,,,,,,,,,,,,,s135,,,s134,,,s121,,,,,g149,,,,,,,,,,,g142,,,,,,
1,,,,,,,,,,,,,,,,,,,,,s77,,,,,,,,,,,,,,,,,,g44,,
2,,,,,,,,,,,,,s135,s58,s40,s134,,s34,s121,s49,s78,s64,,,,g42,g57,,g111,,,g113,,,g11,,g71,,g50,g114,
3,,,,,,,,,,,,,s135,s58,s40,s134,,s34,s121,s49,s78,s65,,,,g42,g57,,g111,,,g113,,,g11,,g71,,g50,g114,
4,,,,,,,,,,,,,s135,s58,s40,s134,,s34,s121,s49,s78,s88,,,,g42,g57,,g111,,,g113,,,g11,,g71,,g50,g114,
5,,,,s125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,s131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,s130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,s126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,s138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,s137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,s59,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,s25,,,,,,,,,,,s80,,,s147,,,,,,,,,,,,,g146,g55,,,,,g73,,,,,g110
13,,,s25,,,,,,,,,,,s80,,,s147,,,,,,,,,,,,,g146,g55,,,,,g82,,,,,g110
14,,,s30,,,,,,,,,,,s85,,,s116,,,,,,,,,,,,,g144,g56,,,,,g84,,,,,g129
15,r36,,s28,,,,,,,,,,,s51,,,s87,,,,,,,,,,,,,g102,g38,,g60,g128,,g141,,,,,g54
16,r36,,s28,,,,,,,,,,,s51,,,s87,,,,,,,,,,,,,g102,g38,,g92,g128,,g141,,,,,g54
17,,,s30,,,,,,,,,,,s85,,,s116,,,,,,,,,,,,,g144,g56,,,,,g96,,,,,g129
18,,,s28,,,,,,,,,,,s51,,,s87,,,,,,,,,,,,,g102,g38,,,,,g112,,,,,g54
19,,,s28,,,,,,,,,,,s51,,,s87,,,,,,,,,,,,,g91,g38,,,,,,,,,,g54
20,r36,,s28,,,,,,,,,,,s51,,,s87,,,,,,,,,,,,,g102,g38,,g62,g128,,g141,,,,,g54
21,r36,,s28,,,,,,,,,,,s51,,,s87,,,,,,,,,,,,,g102,g38,,g61,g128,,g141,,,,,g54
22,r36,,s28,,,,,,,,,,,s51,,,s87,,,,,,,,,,,,,g102,g38,,g94,g128,,g141,,,,,g54
23,r36,,s28,,,,,,,,,,,s51,,,s87,,,,,,,,,,,,,g102,g38,,g93,g128,,g141,,,,,g54
24,,,s28,,,,,,,,,,,s51,,,s87,,,,,,,,,,,,,g120,g38,,,,,,,,,,g54
25,,,s30,,,,,,,,,,,s85,,,s116,,,,,,,,,,,,,g144,g56,,,,,g6,,,,,g129
26,,,s30,,,,,,,,,,,s85,,,s116,,,,,,,,,,,,,g144,g56,,,,,g9,,,,,g129
27,,,s30,,,,,,,,,,,s85,,,s116,,,,,,,,,,,,,g90,g56,,,,,,,,,,g129
28,,,s30,,,,,,,,,,,s85,,,s116,,,,,,,,,,,,,g144,g56,,,,,g5,,,,,g129
29,,,s30,,,,,,,,,,,s85,,,s116,,,,,,,,,,,,,g144,g56,,,,,g8,,,,,g129
30,,,s30,,,,,,,,,,,s85,,,s116,,,,,,,,,,,,,g144,g56,,,,,g7,,,,,g129
31,,,s30,,,,,,,,,,,s85,,,s116,,,,,,,,,,,,,g144,g56,,,,,g10,,,,,g129
